2 0 2  BBI.....I.K.GHAAKLGHDDKLG...EEFFJJ..
3 1 2  BBI.K...I.K.GHAAKLGHDD.LG...EEFFJJ..
3 1 2  BBI.....I.K.GHAAKLGHDDKLG.EE..FFJJ..
3 1 2  BBI.....I.K.GHAAKLGHDDKLG..EE.FFJJ..
3 1 2  BBI.....I.KLGHAAKLGHDDK.G...EEFFJJ..
3 2 1  BBI.....I.K.GHAAK.GHDDKLG..EELFFJJ..
3 2 1  BBI.....I.K.GHAAK.GHDDKLG.EE.LFFJJ..
3 2 1  BBI.....I...GHAA.LGHDDKLG.EEK.FFJJK.
3 3 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
3 3 0  BBI.....I...GHAA..GHDDKLG.EEKLFFJJK.
4 2 2  BBI.K...I.K.GHAAKLGHDD.LG.EE..FFJJ..
4 2 2  BBI.K...I.K.GHAAKLGHDD.LG..EE.FFJJ..
4 2 2  BBI.K...I.K.GHAAKLGHDD.LG.EE..FFJJ..
4 4 0  BBI.....I...GH.AA.GHDDKLG.EEKLFFJJK.
4 2 2  BBI.K...I.KLGHAAKLGHDD..G...EEFFJJ..
4 2 2  BBI.K...I.KLGHAAKLGHDD..G...EEFFJJ..
4 3 1  BBI.....I..LGHAA.LGHDDK.G.EEK.FFJJK.
4 3 1  BBI.K...I.K.GHAAK.GHDD.LG.EE.LFFJJ..
4 3 1  BBI.....I...GHAAK.GHDDKLG.EEKLFFJJ..
4 4 0  BBI.....I...GH..AAGHDDKLG.EEKLFFJJK.
