2 0 2  BBI.EE..I.K.GHAAKLGHDDKLG..J..FF.J..
2 1 1  BBI.EE..I.K.GHAAK.GHDDKLG..J.LFF.J..
2 1 1  BBI.EE..I...GHAA.LGHDDKLG..JK.FF.JK.
2 2 0  BBI.EE..I...GHAA..GHDDKLG..JKLFF.JK.
2 2 0  BBI.EE..I...GHAA..GHDDKLG..JKLFF.JK.
3 1 2  BBI.EE..I.KLGHAAKLGHDDK.G..J..FF.J..
3 2 1  BBIEE...I.K.GHAAK.GHDDKLG..J.LFF.J..
3 2 1  BBI.EE..I...GH.AALGHDDKLG..JK.FF.JK.
3 3 0  BBI.EE..I...G.AA..GHDDKLGH.JKLFF.JK.
3 3 0  BBI.EE..I...G.AA..GHDDKLGH.JKLFF.JK.
3 2 1  BBI.EE..I..LGHAA.LGHDDK.G..JK.FF.JK.
3 3 0  BBIEE...I...GHAA..GHDDKLG..JKLFF.JK.
3 1 2  BBIEE...I.K.GHAAKLGHDDKLG..J..FF.J..
3 2 1  BBI.EE..I..LGHAA.LGHDDK.G..JK.FF.JK.
3 3 0  BBI.EE..I...GH..AAGHDDKLG..JKLFF.JK.
