0 3 0  JBB.CCJDDL..JAAL.......MF..NNMFHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..F.NN..FHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..FNN...FHHKK.
0 3 0  JBBLCCJDDL..JAA..M.....MF.NN..FHHKK.
0 3 0  JBBLCCJDDL..JAA.........F..NNMFHHKKM
0 3 0  JBB.CCJDDL.MJAAL.M......F.NN..FHHKK.
0 3 0  JBB.CCJ..DD.JAAL.M...L.MF...NNFHHKK.
0 3 0  J.BBCCJ..DDMJAAL.M...L..F...NNFHHKK.
0 3 0  JBB.CCJDDL.MJAAL.M......FNN...FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MF.NN..FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MFNN...FHHKK.
0 3 0  JBB.CCJDD..MJAAL.M...L..F.NN..FHHKK.
0 3 0  JBB.CCJDDL..JAAL.M.....MF..NN.FHHKK.
0 3 0  JBB.CCJ...DDJAAL.M...L.MF...NNFHHKK.
0 3 0  JBB.CCJ..DD.JAAL.M...L.MF...NNFHHKK.
0 3 0  JBB.CCJDD..MJAAL.M...L..F..NN.FHHKK.
0 3 0  JBB.CCJ.DD..JAAL.M...L.MF...NNFHHKK.
0 3 0  J.BBCCJDD...JAAL.M...L.MF...NNFHHKK.
0 3 0  JBBLCCJDDL.MJ..AAM......F.NN..FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MF..NN.FHHKK.
0 3 0  JBB.CCJ...DDJ..AAM...L.MF..LNNFHHKK.
0 3 0  J.BBCCJDDL.MJAAL.M......F..NN.FHHKK.
0 3 0  JBB.CCJDD...JAAL.....L.MFNN..MFHHKK.
0 3 0  JBB.CCJDD..MJAAL.M...L..F..NN.FHHKK.
0 3 0  JBBLCCJDDL..JAA..M.....MF.NN..FHHKK.
0 3 0  JBB.CCJDD..MJAA..M...L..FNNL..FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MFNN...FHHKK.
0 3 0  JBBLCCJDDL.MJ.AA.M......F.NN..FHHKK.
0 3 0  JBBLCCJDDL..JAA..M.....MFNN...FHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..FNN...FHHKK.
0 3 0  JBB.CCJ.DD.MJAAL.M...L..FNN...FHHKK.
0 3 0  JBBLCCJDDL..J..AAM.....MF...NNFHHKK.
0 3 0  J.BBCCJDD..MJAAL.M...L..FNN...FHHKK.
0 3 0  JBB.CCJDDL..JAAL.M.....MF.NN..FHHKK.
0 3 0  JBB.CCJDDL.MJAAL.M......F.NN..FHHKK.
0 3 0  JBB.CCJ...DDJ..AAM...L.MF..LNNFHHKK.
0 3 0  JBBLCCJDDL..J.AA.M.....MF...NNFHHKK.
0 3 0  JBB.CCJDDL..JAAL.M.....MFNN...FHHKK.
0 3 0  J.BBCCJDDL..JAAL.M.....MF...NNFHHKK.
0 3 0  JBB.CCJDDL..JAAL.M.....MF...NNFHHKK.
0 3 0  JBB.CCJDD...JAAL.....L.MF.NN.MFHHKK.
0 3 0  JBB.CCJDD..MJAAL.M...L..F..NN.FHHKK.
0 3 0  JBB.CCJ.DD..J..AAM...L.MF..LNNFHHKK.
0 3 0  JBB.CCJ..DDMJ.AA.M...L..F..LNNFHHKK.
0 3 0  JBB.CCJDD..MJAAL.M...L..FNN...FHHKK.
0 3 0  JBB.CCJDD...JAAL.M...L.MF.NN..FHHKK.
0 3 0  JBB.CCJ.DD.MJ..AAM...L..F..LNNFHHKK.
0 3 0  JBB.CCJ..DDMJAAL.M...L..F.NN..FHHKK.
0 3 0  JBB.CCJ.DD.MJAAL.M...L..F.NN..FHHKK.
0 3 0  JBB.CCJ..DD.J..AAM...L.MF..LNNFHHKK.
