3 0 3  ..BB.HE..G.HEAAG.IF..CCIF....I...DD.
3 1 2  .BB..HE..G.HEAAG.IF..CCIF....I...DD.
3 1 2  ..BB.HE..G.HEAAG.IFCC..IF....I...DD.
3 1 2  ..BB.HE..G.HEAAG..F..CCIF....I...DDI
3 2 1  ..BB.HE....HEAA..IFCCG.IF..G.I...DD.
3 2 1  ..BB.HE..G.HEAAG..FCC..IF....I...DDI
3 2 1  ..BB.HE..G.HEAAG..FCC..IF....I...DDI
3 2 1  .BB..HE..G.HEAAG..F..CCIF....I...DDI
3 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
3 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
3 3 0  .BBG.HE..G.HEAA...F..CCIF....I...DDI
3 2 1  .BBG.HE..G.HEAA..IF..CCIF....I...DD.
3 3 0  ..BB.HE....HEAA...FCCG.IF..G.I...DDI
3 2 1  .BB..HE..G.HEAAG..F..CCIF....I...DDI
4 2 2  ...BBHE..G.HEAAG..F..CCIF....I...DDI
4 3 1  .BB..HE..G.HEAAG..FCC..IF....I...DDI
4 4 0  .BB..HE....HEAA...FCCG.IF..G.I...DDI
4 3 1  .BB..HE..G.HEAAG..F.CC.IF....I...DDI
4 4 0  ..BB.HE....HE...AAFCCG.IF..G.I...DDI
