0 7 4  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 7 4  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 11 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 8 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 12 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 12 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 12 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 8 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 8 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 12 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 9 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 13 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 13 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 13 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 9 4  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 9 4  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 13 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 14 4  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 14 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 14 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 10 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 10 4  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 11 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 15 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 15 4  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 11 4  IJ..CCIJDDLFI.AALFEEK..H..K..H.GGGBB
0 11 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 11 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 11 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 12 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
