3 0 3  ..I.K.BBI.K.GHAAKLGHDDKLG..JEEFF.J..
3 1 2  ..I.KLBBI.KLGHAAK.GHDDK.G..JEEFF.J..
4 2 2  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEEFF.J..
4 2 2  ..I.KLBBI.KLGHAAK.GHDDK.G..JEE.FFJ..
5 1 4  ..I.K.BBI.K.GHAAKLGHDDKLG..JEE.FFJ..
5 3 2  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEEFF.J..
5 3 2  ..I.KLBBI.KL.HAAK.GHDDK.G..JEEGFFJ..
5 3 2  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
5 1 4  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
5 3 2  ..I.KLBBI.KLG.AAK.GHDDK.GH.JEE.FFJ..
5 1 4  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEEFF.J..
6 4 2  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
6 2 4  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
6 4 2  ..I.KLBBI.KL..AAK.GHDDK.GH.JEEGFFJ..
6 2 4  ..I.K.BBI.K..HAAKLGHDDKLG..JEEGFFJ..
6 4 2  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
6 4 2  ..I.KLBBI.KL..AAK.GHDDK.GH.JEEGFFJ..
6 2 4  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
6 2 4  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
6 2 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
6 4 2  ..I.KLBBI.KLGAA.K.GHDDK.GH.JEE.FFJ..
6 2 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEEFF.J..
6 4 2  ..I.KLBBI.KL..AAK.GHDDK.GH.JEEGFFJ..
6 2 4  ..I.K.BBI.KLGHAAKLGHDDK.G..JEEFF.J..
6 2 4  ..I.K.BBI.KLGHAAKLGHDDK.G..JEE.FFJ..
6 2 4  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEEFF.J..
7 3 4  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
7 3 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEEFF.J..
7 5 2  ..I.KLBBI.KLAA..K.GHDDK.GH.JEEGFFJ..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEEFF.J..
7 3 4  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 3 4  ..I.K.BBI.K.GHAAKLGHDDKLG..JEE.FFJ..
7 5 2  ..I.KLBBI.KLAA..K.GHDDK.GH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 3 4  ..I.K.BBI.KL.HAAKLGHDDK.G..JEEGFFJ..
7 3 4  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
7 3 4  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEEFF.J..
7 3 4  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
7 3 4  ..I.K.BBI.KL.HAAKLGHDDK.G..JEEGFFJ..
7 3 4  ..I.K.BBI.K...AAKLGHDDKLGH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 3 4  ..I.K.BBI.KL.HAAKLGHDDK.G..JEEGFFJ..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 5 2  ..I.KLBBI.KLAA..K.GHDDK.GH.JEEGFFJ..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 3 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEEFF.J..
7 5 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
7 3 4  ..I.K.BBI.KLG.AAKLGHDDK.GH.JEE.FFJ..
7 3 4  ..I.K.BBI.K.GAA.KLGHDDKLGH.JEE.FFJ..
8 6 2  ..I.KLBBI.KL.AA.K.GHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.K.G.AAKLGHDDKLGH.JEE.FFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.K..HAAKLGHDDKLG..JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.KLGAA.KLGHDDK.GH.JEE.FFJ..
8 4 4  ..I.K.BBI.K.AA..KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.KL..AAKLGHDDK.GH.JEEGFFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
8 4 4  ..I.K.BBI.K..AA.KLGHDDKLGH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KLAA..KLGHDDK.GH.JEEGFFJ..
9 5 4  ..I.K.BBI.KL.AA.KLGHDDK.GH.JEEGFFJ..
