0 0 3  JBBCCCJDD..MJAAL.M..KL.NFFK..N.HH.GG
0 1 2  JBBCCCJDD..MJAA..M..KL.NFFKL.N.HH.GG
0 2 2  JBBCCCJ.DD.MJAA..M..KL.NFFKL.N.HH.GG
0 2 2  JBBCCCJ..DDMJAA..M..KL.NFFKL.N.HH.GG
0 2 2  JBBCCCJDD..MJ.AA.M..KL.NFFKL.N.HH.GG
0 3 2  .BBCCCJ.DD.MJAA..MJ.KL.NFFKL.N.HH.GG
0 3 2  .BBCCCJ..DDMJAA..MJ.KL.NFFKL.N.HH.GG
0 3 2  JBBCCCJ.DD.MJ.AA.M..KL.NFFKL.N.HH.GG
0 3 2  JBBCCCJ..DDMJ.AA.M..KL.NFFKL.N.HH.GG
0 3 2  .BBCCCJDD..MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 4 2  .BBCCCJ.DD.MJ..AAMJ.KL.NFFKL.N.HH.GG
0 4 2  .BBCCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 4 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 4 2  .BBCCCJDD..MJAA..MJ.KL.NFFKL.N.HH.GG
0 4 2  .BBCCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 2  JBBCCCJ.DD.MJ..AAM..KL.NFFKL.N.HH.GG
0 5 2  .BBCCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 2  .BBCCCJ..DDMJ.AA.MJ.KL.NFFKL.N.HH.GG
0 5 2  .BBCCCJ..DDMJ..AAMJ.KL.NFFKL.N.HH.GG
0 5 2  .BBCCCJDD..MJ..AAMJ.KL.NFFKL.N.HH.GG
0 6 2  JBBCCCJ..DDMJ..AAM..KL.NFFKL.N.HH.GG
0 6 2  BB.CCCJ.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 7 1  BBCCC.J.DD.MJ.AA.MJ.KL.NFFKL.N.HH.GG
0 8 0  BBCCCMJ.DD.MJ.AA..J.KL.NFFKL.N.HH.GG
0 9 0  BBCCCMJDD..MJ.AA..J.KL.NFFKL.N.HH.GG
0 9 0  BBCCCMJ..DDMJ.AA..J.KL.NFFKL.N.HH.GG
0 9 0  BBCCCMJ.DD.MJ...AAJ.KL.NFFKL.N.HH.GG
